publication_id,class_id,Rank,URL
3deds2020,1,C,https://portal.core.edu.au/conf-ranks/?search=AICCSA&by=all&source=CORE2023&sort=atitle&page=1
3drch2010,1,Not Found,
a3kns2012,1,Not Found,
a3ois2021,1,Not Found,
abiel2013,1,Not Found,
abnon2015,1,Not Found,
absms2016,1,Not Found,
acaon2017,1,Not Found,
acdem2014,1,Not Found,
aceal2003,1,Unranked,https://portal.core.edu.au/conf-ranks/?search=International&by=all&source=CORE2023&sort=atitle&page=1
acems2009,1,Not Found,
acits2022,1,Not Found,
acp292014,1,Not Found,
acres2015,1,Not Found,
acsgy2014,1,Not Found,
ad9ns2022,1,Not Found,
adces2022,1,Not Found,
adcks2017,1,Not Found,
adeem2022,1,Not Found,
adiks2015,1,Not Found,
adnak2019,1,Not Found,
adoks2014,1,Not Found,
adtle2015,1,Not Found,
afits2016,1,Not Found,
afmts2017,1,B,https://portal.core.edu.au/conf-ranks/?search=International Conference on Tools with Artificial Intelligence&by=all&source=CORE2023&sort=atitle&page=1
afook2015,1,Not Found,
afrem2023,1,Not Found,
agagn2014,1,Not Found,
ageem2023,1,Not Found,
agety2013,1,Not Found,
agfks2020,1,Not Found,
agiss2007,1,Not Found,
aglon2022,1,Not Found,
agpbt2018,1,Not Found,
agsks2012,1,Not Found,
aheks2022,1,Not Found,
ahhts2017,1,Not Found,
ahion2024,1,Not Found,
ahtce2017,1,Not Found,
ahtos2018,1,B,https://portal.core.edu.au/conf-ranks/?search=ICASS&by=all&source=CORE2023&sort=atitle&page=1
aiuad2008,1,Not Found,
akrem2015,1,Not Found,
aloks2013,1,Not Found,
aluis2020,1,Not Found,
amgps2012,1,Not Found,
amies2022,1,Not Found,
ammms2017,1,Not Found,
ammms2018,1,Not Found,
amnem2013,1,Not Found,
amoks2023,1,Not Found,
amsem2011,1,Not Found,
anage2011,1,Not Found,
anaop2007,1,National,https://portal.core.edu.au/conf-ranks/?search=International Work-Conference on the Interplay Between Natural and Artificial Computation&by=all&source=CORE2023&sort=atitle&page=1
anats2022,1,Not Found,
ancsn2012,1,Not Found,
andem2010,1,Not Found,
ander2025,1,Not Found,
andes2012,1,Not Found,
aneem2011,1,C,https://portal.core.edu.au/conf-ranks/?search=ICCI&by=all&source=CORE2023&sort=atitle&page=1
anegs2023,1,Not Found,
aneks2023,1,C,https://portal.core.edu.au/conf-ranks/?search=WEBIST&by=all&source=CORE2023&sort=atitle&page=1
aneon2006,1,Not Found,
aneon2008,1,Not Found,
anese2011,1,B,https://portal.core.edu.au/conf-ranks/?search=CSEDU 1&by=all&source=CORE2023&sort=atitle&page=1
anets2018,1,Not Found,
anfem2019,1,B,https://portal.core.edu.au/conf-ranks/?search=CEC&by=all&source=CORE2023&sort=atitle&page=1
angce2016,1,B,https://portal.core.edu.au/conf-ranks/?search=CEC&by=all&source=CORE2023&sort=atitle&page=1
angem2019,1,Not Found,
aniem2010,1,Not Found,
aning2022,1,Not Found,
anins2011,1,Not Found,
anlem2020,1,Not Found,
anmem2008,1,Not Found,
anmms2011,1,C,https://portal.core.edu.au/conf-ranks/?search=IA&by=all&source=CORE2023&sort=atitle&page=1
anmon2007,1,Not Found,
annms2016,1,Not Found,
annnt2022,1,Not Found,
annts2010,1,Not Found,
anoms2016,1,Not Found,
anpse2021,1,Not Found,
anrem2005,1,Not Found,
anrem2019,1,Not Found,
anrks2023,1,Not Found,
anrms2019,1,Not Found,
anron2019,1,Not Found,
anrps2024,1,Not Found,
anrre2022,1,B,https://portal.core.edu.au/conf-ranks/?search=International Conference on Big Data&by=all&source=CORE2023&sort=atitle&page=1
ansct2003,1,Not Found,
ansem2019,1,Not Found,
ansem2023,1,Not Found,
anses2013,1,Not Found,
ansge2014,1,Not Found,
anson2018,1,Not Found,
ansts2006,1,Not Found,
antce2019,1,B,https://portal.core.edu.au/conf-ranks/?search=SMC&by=all&source=CORE2023&sort=atitle&page=1
anuks2009,1,Not Found,
apees2015,1,Not Found,
apggn2004,1,Not Found,
apiem2008,1,C,https://portal.core.edu.au/conf-ranks/?search=International Conference on Information and Communication Technologies&by=all&source=CORE2023&sort=atitle&page=1
apimt2019,1,Not Found,
aplms2004,1,Not Found,
apmms2004,1,Not Found,
apuaz2019,1,Not Found,
apzon2024,1,Not Found,
aqfks2023,1,Not Found,
aques2016,1,B,https://portal.core.edu.au/conf-ranks/?search=International Symposium on Cluster&by=all&source=CORE2023&sort=atitle&page=1
araew2013,1,Not Found,
arans2007,1,Not Found,
arcns2006,1,Not Found,
arits2023,1,Not Found,
arrsi2011,1,Not Found,
aruds2022,1,Not Found,
arvns2014,1,Not Found,
asany2023,1,Not Found,
asbem2011,1,C,https://portal.core.edu.au/conf-ranks/?search=International Conference on Intelligent Systems Design and Applications&by=all&source=CORE2023&sort=atitle&page=1
asdaf2024,1,Not Found,
asion2022,1,Not Found,
aslon2016,1,Not Found,
asmip2019,1,Not Found,
asory2019,1,Not Found,
asrta2020,1,Not Found,
astrk2010,1,Not Found,
asvgn2019,1,Not Found,
ation2019,1,Not Found,
attad2008,1,Not Found,
aufng2018,1,Not Found,
auing1991,1,Not Found,
auoel2024,1,C,https://portal.core.edu.au/conf-ranks/?search=ISPA&by=all&source=CORE2023&sort=atitle&page=1
aupes2019,1,Not Found,
aurmy2018,1,Not Found,
auvty2016,1,Not Found,
avfes2015,1,Not Found,
ayfnt2024,1,Not Found,
biihm2021,1,Not Found,
bioks2015,1,Not Found,
bocon2023,1,Not Found,
br0ks2018,1,Not Found,
buern2017,1,Not Found,
buich2007,1,Not Found,
caaon2022,1,Not Found,
caces2014,1,Not Found,
cawes2006,1,Not Found,
chblt2016,1,Not Found,
chblt2017,1,C,https://portal.core.edu.au/conf-ranks/?search=International Conference on Hybrid Intelligent Systems&by=all&source=CORE2023&sort=atitle&page=1
chdir2024,1,Not Found,
chhes2014,1,Not Found,
chnes2018,1,Not Found,
chplt2016,1,Not Found,
citue2022,1,Not Found,
clris2017,1,Not Found,
clsts2003,1,Not Found,
coaap2016,1,Not Found,
coaes2015,1,Not Found,
coahe2008,1,Not Found,
coaks2024,1,Not Found,
coang2018,1,Unranked,https://portal.core.edu.au/conf-ranks/?search=International Conference on Communications&by=all&source=CORE2023&sort=atitle&page=1
coaon2024,1,Not Found,
coars2014,1,Not Found,
coead2005,1,Not Found,
coees2008,1,Not Found,
cogon2018,1,Not Found,
cohes2003,1,Not Found,
coier2021,1,Not Found,
coies2017,1,Not Found,
coles2019,1,Not Found,
cones2023,1,Not Found,
cooon2015,1,Not Found,
cooon2017,1,Not Found,
cooop2005,1,Not Found,
cotle2006,1,Not Found,
covms2006,1,Not Found,
crcng2020,1,Not Found,
crnol2018,1,A,https://portal.core.edu.au/conf-ranks/?search=IFIP&by=all&source=CORE2023&sort=atitle&page=1
csnng2023,1,B,https://portal.core.edu.au/conf-ranks/?search=ICAART 2&by=all&source=CORE2023&sort=atitle&page=1
deaes2019,1,Not Found,
deaks2022,1,Not Found,
dedng2008,1,Not Found,
deedy2019,1,Not Found,
degls2017,1,Not Found,
degot2019,1,Not Found,
dehes2009,1,Not Found,
delnt2016,1,Not Found,
dench2014,1,B,https://portal.core.edu.au/conf-ranks/?search=International Conference on Agents and Artificial Intelligence&by=all&source=CORE2023&sort=atitle&page=1
deoes2008,1,Not Found,
deoes2017,1,Not Found,
dtdon2009,1,Not Found,
dtnrs2008,1,Not Found,
dtsge2008,1,Not Found,
dtyue2008,1,Not Found,
efeks2011,1,Not Found,
efolt2016,1,Not Found,
efrng2024,1,Not Found,
eitce2018,1,Not Found,
emaet1996,1,Not Found,
emeer2022,1,Not Found,
emtsi2013,1,Not Found,
enees2017,1,Not Found,
enent2022,1,National: Tunisia,https://portal.core.edu.au/conf-ranks/?search=ISIA&by=all&source=CORE2023&sort=atitle&page=1
enhes2023,1,Not Found,
enins2023,1,Not Found,
enles2019,1,Not Found,
enrey2017,1,Not Found,
ensch2020,1,Not Found,
enses2015,1,Not Found,
enung2012,1,Not Found,
enval2016,1,Not Found,
eprts2021,1,Not Found,
esdol2014,1,Not Found,
etrms2014,1,Not Found,
evane2005,1,Not Found,
evnel2011,1,Not Found,
evpge2015,1,Not Found,
evscs2008,1,C,https://portal.core.edu.au/conf-ranks/?search=International Symposium on Communications&by=all&source=CORE2023&sort=atitle&page=1
exaes2019,1,Not Found,
excts2016,1,Not Found,
exers2022,1,Not Found,
exgts2022,1,Not Found,
exion2021,1,Not Found,
exmes2014,1,Not Found,
exnio2021,1,Not Found,
exscs2024,1,Not Found,
extne2017,1,Not Found,
fiiod2015,1,Not Found,
firem2023,1,Not Found,
fliis2021,1,Not Found,
fliks2024,1,Not Found,
flrga2022,1,Not Found,
fosts1998,1,Not Found,
frips2018,1,Not Found,
frres2024,1,Not Found,
ftety2018,1,Unranked,https://portal.core.edu.au/conf-ranks/?search=International Conference on Electronics&by=all&source=CORE2023&sort=atitle&page=1
fu3ts2018,1,Not Found,
gacem2016,1,Not Found,
gacem2018,1,Not Found,
ganps2015,1,National: India,https://portal.core.edu.au/conf-ranks/?search=CDC&by=all&source=CORE2023&sort=atitle&page=1
gat102023,1,Not Found,
gauew2023,1,Not Found,
geams2023,1,Not Found,
gntls1995,1,Not Found,
gophe2022,1,Not Found,
hegip2016,1,Not Found,
hiaon2017,1,Not Found,
hieon2014,1,Not Found,
hioon2018,1,Not Found,
hiron2016,1,Not Found,
hiron2018,1,Not Found,
hiron2020,1,Not Found,
hison2016,1,Not Found,
honon2008,1,Not Found,
hoohs2011,1,Not Found,
hosal2015,1,Not Found,
houon2015,1,Not Found,
hyses2021,1,Not Found,
idpge2019,1,Not Found,
imdns2021,1,Not Found,
imeng2019,1,Not Found,
imgks2023,1,Not Found,
imhks2021,1,Not Found,
imiel2024,1,Not Found,
imlta2022,1,Not Found,
imnem2024,1,Not Found,
imums2006,1,Not Found,
imure2024,1,Not Found,
inaew2016,1,Not Found,
inels2000,1,Not Found,
infms2011,1,Not Found,
inles2004,1,Not Found,
inmks2024,1,Not Found,
innch2019,1,Not Found,
innxt2007,1,Not Found,
insor2009,1,Not Found,
inule2020,1,Not Found,
inyem2017,1,Not Found,
ipnne2016,1,Not Found,
isets2008,1,Not Found,
jooes2011,1,Not Found,
jseap2017,1,Not Found,
kdnes2000,1,Not Found,
knies2014,1,Not Found,
lasng2020,1,Not Found,
leres2013,1,Not Found,
letis2010,1,Not Found,
lotrs2024,1,Not Found,
luvie2003,1,Not Found,
lvnns2006,1,Not Found,
maeer2020,1,Not Found,
mames2013,1,Not Found,
manon2019,1,Not Found,
mdroa2023,1,Not Found,
meach2013,1,Not Found,
meees2013,1,Not Found,
meeng2009,1,Not Found,
menon2014,1,C,https://portal.core.edu.au/conf-ranks/?search=International conference on information visualisation&by=all&source=CORE2023&sort=atitle&page=1
mesem2014,1,Not Found,
metds2013,1,Not Found,
metms2007,1,Not Found,
mieon2018,1,Not Found,
moccd2023,1,Not Found,
momss2014,1,Not Found,
mon102010,1,Not Found,
mooes2010,1,Not Found,
mtave2000,1,Not Found,
muaon2016,1,Not Found,
muaon2017,1,C,https://portal.core.edu.au/conf-ranks/?search=International Conference on Intelligent Systems Design and Applications&by=all&source=CORE2023&sort=atitle&page=1
mubta2023,1,Not Found,
mulnt2022,1,Not Found,
munes2013,1,C,https://portal.core.edu.au/conf-ranks/?search=international conference on modeling&by=all&source=CORE2023&sort=atitle&page=1
mutml2012,1,Not Found,
mutns2013,1,Not Found,
natem2018,1,Not Found,
nefol2022,1,Not Found,
nocon2016,1,Not Found,
notga2024,1,Not Found,
nueer2021,1,Not Found,
onfon2019,1,Not Found,
onmts2012,1,Not Found,
onnlt2024,1,Not Found,
onoin2018,1,Not Found,
onton2017,1,Not Found,
opans2025,1,Not Found,
opgis2007,1,Not Found,
opiey2021,1,Not Found,
opiis2021,1,Not Found,
oping2020,1,Not Found,
opnce2022,1,Not Found,
orsss2008,1,Not Found,
ortes1999,1,Not Found,
ortes2010,1,Not Found,
ougit2005,1,Not Found,
ounls1996,1,Not Found,
our422022,1,Not Found,
ourls2008,1,Not Found,
ous432003,1,Not Found,
paaat2002,1,Not Found,
pacta2022,1,Not Found,
padts2008,1,Not Found,
panem2014,1,Not Found,
pases2015,1,Not Found,
pebem2021,1,Not Found,
peece2022,1,Not Found,
peees2018,1,Not Found,
peeng2009,1,Not Found,
peeng2018,1,Not Found,
peton2007,1,Not Found,
pinge2023,1,Not Found,
pores2015,1,Not Found,
pread2007,1,Not Found,
prech2022,1,Not Found,
prgng2017,1,Not Found,
prgon2024,1,Not Found,
pri132013,1,Not Found,
prnce2017,1,Not Found,
prnem2006,1,Not Found,
proon2013,1,Not Found,
prpig2007,1,Not Found,
qdews2017,1,Not Found,
qugni2009,1,Not Found,
rdies2022,1,Not Found,
rdpir2023,1,Not Found,
reble2006,1,Not Found,
redes2012,1,Not Found,
reees2003,1,Not Found,
reees2024,1,Not Found,
reegy2009,1,Not Found,
reein2010,1,Not Found,
reers2015,1,Not Found,
ref192022,1,Not Found,
reing2017,1,Not Found,
renps2022,1,Not Found,
reoms2015,1,Not Found,
rephm2011,1,C,https://portal.core.edu.au/conf-ranks/?search=ICCI&by=all&source=CORE2023&sort=atitle&page=1
reues2008,1,Not Found,
reuon2015,1,Not Found,
rsale2003,1,Not Found,
rstis2006,1,Not Found,
ruans2022,1,Not Found,
sasht2012,1,C,https://portal.core.edu.au/conf-ranks/?search=international conference on information visualisation&by=all&source=CORE2023&sort=atitle&page=1
saste2012,1,Not Found,
scpad2006,1,Not Found,
scyem2015,1,Not Found,
sea182018,1,C,https://portal.core.edu.au/conf-ranks/?search=WETICE&by=all&source=CORE2023&sort=atitle&page=1
seaml2013,1,Not Found,
secch2011,1,Not Found,
seres2019,1,Not Found,
setch2015,1,Not Found,
sewng2023,1,Not Found,
sezng2022,1,Not Found,
sezon2018,1,B,https://portal.core.edu.au/conf-ranks/?search=international conference on fuzzy systems&by=all&source=CORE2023&sort=atitle&page=1
sifng2019,1,Not Found,
siiks2023,1,Not Found,
simir2014,1,Not Found,
skcon2015,1,Not Found,
sncch2019,1,Not Found,
sodnt2014,1,Not Found,
soesi2010,1,Not Found,
soict2014,1,Not Found,
somes2005,1,National,https://portal.core.edu.au/conf-ranks/?search=International Work-Conference on the Interplay Between Natural and Artificial Computation&by=all&source=CORE2023&sort=atitle&page=1
sotct2013,1,Not Found,
sotmn2016,1,Not Found,
sprch2012,1,Not Found,
sprxt2022,1,Not Found,
stgse2019,1,Not Found,
stnta2004,1,C,https://portal.core.edu.au/conf-ranks/?search=International Conference on Information and Communication Technologies&by=all&source=CORE2023&sort=atitle&page=1
stpes2008,1,Not Found,
stvng2023,1,Not Found,
sueon1988,1,Not Found,
suies2011,1,Not Found,
suion2022,1,Not Found,
sunty2022,1,Not Found,
suron2022,1,Not Found,
syhdy2009,1,Not Found,
taarf2023,1,Not Found,
tadop2018,1,TBR,https://portal.core.edu.au/conf-ranks/?search=International Conference on Emerging Technologies and Factory Automation&by=all&source=CORE2023&sort=atitle&page=1
taees2014,1,Not Found,
taele2025,1,Not Found,
taies2006,1,Not Found,
taler2024,1,A*,https://portal.core.edu.au/conf-ranks/?search=DEV&by=all&source=CORE2023&sort=atitle&page=1
talks2021,1,Not Found,
tatot2016,1,B,https://portal.core.edu.au/conf-ranks/?search=LCN&by=all&source=CORE2023&sort=atitle&page=1
tatue2021,1,Not Found,
teiet2015,1,Not Found,
terts2013,1,Not Found,
thaes2008,1,Not Found,
theon2019,1,C,https://portal.core.edu.au/conf-ranks/?search=International Conference on Model and Data Engineering&by=all&source=CORE2023&sort=atitle&page=1
thsdy2012,1,Not Found,
tisns2011,1,Not Found,
tkwhy2010,1,Not Found,
tocng2017,1,Not Found,
todgn2014,1,Not Found,
todms2014,1,Not Found,
toent2017,1,Not Found,
tofes2017,1,Not Found,
togdy2018,1,Not Found,
togon2020,1,Not Found,
toiin2013,1,Not Found,
tonrs2017,1,Not Found,
tooms2004,1,Not Found,
toont2020,1,Not Found,
tosve2015,1,Not Found,
totns2022,1,Not Found,
traey2020,1,Not Found,
troey2019,1,Not Found,
trpta2021,1,Not Found,
trqdy2013,1,Not Found,
trseb2011,1,Not Found,
trsge2024,1,Not Found,
trxth2018,1,Not Found,
turgn2008,1,Not Found,
tuues2016,1,Not Found,
twhem2010,1,Not Found,
unbrc2002,1,Not Found,
undts2005,1,Not Found,
unene2014,1,Not Found,
unent2008,1,Not Found,
unnle2007,1,Not Found,
unnve2001,1,Not Found,
unogn2002,1,Not Found,
unoue2010,1,Not Found,
unses2003,1,Not Found,
urich2012,1,Not Found,
uslms2004,1,Unranked,https://portal.core.edu.au/conf-ranks/?search=International Conference on Systems&by=all&source=CORE2023&sort=atitle&page=1
uslms2007,1,Not Found,
usngn2003,1,Not Found,
usngn2007,1,Not Found,
uspne2005,1,Not Found,
usses2013,1,Not Found,
veeer2011,1,Not Found,
veeue1996,1,Not Found,
venrs2008,1,Not Found,
vents2006,1,Not Found,
vepnt2008,1,Not Found,
versi2013,1,Not Found,
veses2015,1,Not Found,
veter2017,1,Not Found,
vieew2024,1,Unranked,https://portal.core.edu.au/conf-ranks/?search=International Conference on Future Networks and Communications&by=all&source=CORE2023&sort=atitle&page=1
wetns2023,1,Not Found,
whcri2016,1,C,https://portal.core.edu.au/conf-ranks/?search=CSA&by=all&source=CORE2023&sort=atitle&page=1
whcts2014,1,Not Found,
yaaem2010,1,Not Found,
3deds2020,2,Not Found,N/A
3drch2010,2,Not Found,N/A
a3kns2012,2,Not Found,N/A
a3ois2021,2,Not Found,N/A
abiel2013,2,Not Found,N/A
abnon2015,2,Not Found,N/A
absms2016,2,Not Found,N/A
acaon2017,2,Not Found,N/A
acdem2014,2,Not Found,N/A
aceal2003,2,Not Found,N/A
acems2009,2,Not Found,N/A
acits2022,2,Not Found,N/A
acp292014,2,Not Found,N/A
acres2015,2,Not Found,N/A
acsgy2014,2,Not Found,N/A
ad9ns2022,2,Not Found,N/A
adces2022,2,Not Found,N/A
adcks2017,2,Q2,https://www.scimagojr.com/journalsearch.php?q=Telecommunication+Systems
adeem2022,2,Q1,https://www.scimagojr.com/journalsearch.php?q=Applied+Soft+Computing
adiks2015,2,Not Found,N/A
adnak2019,2,Q4,https://www.scimagojr.com/journalsearch.php?q=International+Journal+of+Reasoning-based+Intelligent+Systems
adoks2014,2,Q1,https://www.scimagojr.com/journalsearch.php?q=Journal+of+network+and+computer+applications
adtle2015,2,Not Found,N/A
afits2016,2,Not Found,N/A
afmts2017,2,Not Found,N/A
afook2015,2,Not Found,N/A
afrem2023,2,Not Found,N/A
agagn2014,2,Not Found,N/A
ageem2023,2,Q1,https://www.scimagojr.com/journalsearch.php?q=Applied+Soft+Computing
agety2013,2,Not Found,N/A
agfks2020,2,Not Found,N/A
agiss2007,2,Not Found,N/A
aglon2022,2,Not Found,N/A
agpbt2018,2,Not Found,N/A
agsks2012,2,Not Found,N/A
aheks2022,2,Not Found,N/A
ahhts2017,2,Q1,https://www.scimagojr.com/journalsearch.php?q=Applied+Soft+Computing
ahion2024,2,Q2,https://www.scimagojr.com/journalsearch.php?q=International+Journal+of+General+Systems
ahtce2017,2,-,https://www.scimagojr.com/journalsearch.php?q=Procedia+Computer+Science
ahtos2018,2,Not Found,N/A
aiuad2008,2,Not Found,N/A
akrem2015,2,Not Found,N/A
aloks2013,2,Not Found,N/A
aluis2020,2,Q1,https://www.scimagojr.com/journalsearch.php?q=Energies
amgps2012,2,Not Found,N/A
amies2022,2,Q2,https://www.scimagojr.com/journalsearch.php?q=Frontiers+in+Robotics+and+AI
ammms2017,2,Q1,https://www.scimagojr.com/journalsearch.php?q=IEEE+Systems+Journal
ammms2018,2,Q1,https://www.scimagojr.com/journalsearch.php?q=IEEE+Systems+Journal
amnem2013,2,Not Found,N/A
amoks2023,2,Q1,https://www.scimagojr.com/journalsearch.php?q=IEEE+Communications+Magazine
amsem2011,2,Not Found,N/A
anage2011,2,Not Found,N/A
anaop2007,2,Not Found,N/A
anats2022,2,Not Found,N/A
ancsn2012,2,Not Found,N/A
andem2010,2,Not Found,N/A
ander2025,2,Q2,"https://www.scimagojr.com/journalsearch.php?q=Transforming+Government:+People,+Process+and+Policy"
andes2012,2,Not Found,N/A
aneem2011,2,Not Found,N/A
anegs2023,2,Q3,https://www.scimagojr.com/journalsearch.php?q=International+Journal+of+Software+Engineering+and+Knowledge+Engineering
aneks2023,2,Not Found,N/A
aneon2006,2,Not Found,N/A
aneon2008,2,Not Found,N/A
anese2011,2,Not Found,N/A
anets2018,2,-,https://www.scimagojr.com/journalsearch.php?q=Procedia+Computer+Science
anfem2019,2,Not Found,N/A
angce2016,2,Not Found,N/A
angem2019,2,Q1,https://www.scimagojr.com/journalsearch.php?q=Applied+Soft+Computing
aniem2010,2,Not Found,N/A
aning2022,2,Q2,https://www.scimagojr.com/journalsearch.php?q=International+Journal+of+Computers+and+Applications
anins2011,2,Not Found,N/A
anlem2020,2,Q1,https://www.scimagojr.com/journalsearch.php?q=Engineering+Applications+of+Artificial+Intelligence
anmem2008,2,Not Found,N/A
anmms2011,2,Not Found,N/A
anmon2007,2,Not Found,N/A
annms2016,2,Not Found,N/A
annnt2022,2,Not Found,N/A
annts2010,2,Not Found,N/A
anoms2016,2,Not Found,N/A
anpse2021,2,Not Found,N/A
anrem2005,2,Not Found,N/A
anrem2019,2,-,https://www.scimagojr.com/journalsearch.php?q=Procedia+Computer+Science
anrks2023,2,-,https://www.scimagojr.com/journalsearch.php?q=Procedia+Computer+Science
anrms2019,2,Not Found,N/A
anron2019,2,Not Found,N/A
anrps2024,2,Q1,https://www.scimagojr.com/journalsearch.php?q=Technologies
anrre2022,2,Not Found,N/A
ansct2003,2,Not Found,N/A
ansem2019,2,-,https://www.scimagojr.com/journalsearch.php?q=Procedia+Computer+Science
ansem2023,2,-,https://www.scimagojr.com/journalsearch.php?q=Procedia+Computer+Science
anses2013,2,Not Found,N/A
ansge2014,2,Not Found,N/A
anson2018,2,Not Found,N/A
ansts2006,2,Q1,https://www.scimagojr.com/journalsearch.php?q=Applied+Mathematics+and+Computation
antce2019,2,Not Found,N/A
